"Name","Mammals","Birds","Reptiles*","Amphibians","Fishes*","Molluscs*","Other Inverts*","Plants*","Fungi*","Chromists*","Total"
"Antarctica","2","5","0","0","3","0","0","0","0","0","10"
"Bouvet Island","1","1","0","0","1","0","0","0","0","0","3"
"French Southern Territories","3","16","7","0","12","0","0","2","0","0","40"
"Heard Island and McDonald Islands","1","10","0","0","2","0","0","0","0","0","13"
"South Georgia and the South Sandwich Islands","3","6","0","0","2","0","0","0","0","0","11"
"Anguilla","1","6","8","0","49","0","26","3","0","0","93"
"Antigua and Barbuda","2","9","8","0","49","0","26","2","0","0","96"
"Aruba","2","7","2","0","51","1","25","5","0","0","93"
"Bahamas","5","16","13","0","63","1","28","29","0","0","155"
"Barbados","3","9","7","0","48","0","26","4","0","0","97"
"Bermuda","4","9","4","0","36","2","36","8","0","0","99"
"Bonaire, Sint Eustatius and Saba","3","7","7","0","51","0","27","7","0","0","102"
"Cayman Islands","1","8","11","0","44","2","28","23","0","0","117"
"Cuba","10","24","44","48","66","0","39","382","0","0","613"
"Curaçao","3","6","5","0","47","0","26","5","0","0","92"
"Dominica","3","12","3","2","50","0","25","20","0","0","115"
"Dominican Republic","5","23","58","35","48","0","37","172","0","0","378"
"Grenada","3","8","7","1","49","0","27","7","0","0","102"
"Guadeloupe","4","10","14","3","48","1","26","20","0","0","126"
"Haiti","3","23","67","45","62","0","30","297","0","0","527"
"Jamaica","7","16","28","20","49","0","30","213","0","0","363"
"Martinique","1","11","9","2","46","2","23","19","1","0","114"
"Montserrat","2","9","4","1","46","0","26","8","0","0","96"
"Puerto Rico","2","19","16","14","49","0","26","111","1","0","238"
"Saint Barthélemy","1","6","4","0","36","0","25","2","0","0","74"
"Saint Kitts and Nevis","2","9","6","1","47","0","26","5","0","0","96"
"Saint Lucia","2","13","9","0","47","0","25","16","0","0","112"
"Saint Martin (French part)","2","7","7","0","44","0","25","2","0","0","87"
"Saint Vincent and the Grenadines","2","10","8","1","47","0","26","8","0","0","102"
"Sint Maarten (Dutch part)","2","6","7","0","44","0","25","1","0","0","85"
"Trinidad and Tobago","3","10","7","4","62","0","26","64","0","0","176"
"Turks and Caicos Islands","2","9","8","0","45","0","25","11","0","0","100"
"Virgin Islands, British","1","8","15","2","48","0","26","26","0","0","126"
"Virgin Islands, U.S.","1","9","14","3","47","0","24","23","0","0","121"
"China","78","94","56","149","377","16","145","831","8","0","1,754"
"Hong Kong","6","25","8","6","35","1","40","17","0","0","138"
"Japan","29","52","26","45","170","62","212","76","15","0","687"
"Korea, Democratic People's Republic of","10","33","2","2","52","0","4","20","2","0","125"
"Korea, Republic of","12","37","3","9","82","6","20","38","3","0","210"
"Macao","0","7","2","1","21","0","25","0","0","0","56"
"Mongolia","10","26","0","0","1","0","2","1","4","0","44"
"Taiwan, Province of China","12","28","15","10","151","4","204","92","2","0","518"
"Åland Islands","0","0","0","0","0","0","0","1","1","0","2"
"Albania","5","11","6","3","69","54","24","5","0","0","177"
"Andorra","4","4","2","1","0","2","5","1","0","0","19"
"Austria","6","16","1","2","16","45","65","38","54","0","243"
"Belgium","4","11","0","1","23","6","17","3","28","0","93"
"Bosnia and Herzegovina","6","12","3","4","57","22","39","5","1","0","149"
"Bulgaria","11","21","3","2","19","35","40","13","10","0","154"
"Croatia","10","18","4","4","79","56","47","10","26","0","254"
"Czechia","6","13","0","2","2","7","41","31","37","0","139"
"Denmark","2","13","0","0","29","5","15","2","35","0","101"
"Estonia","2","14","0","0","4","4","6","2","31","0","63"
"Faroe Islands","4","6","0","0","24","0","1","1","4","0","40"
"Finland","3","15","0","0","3","4","13","4","34","0","76"
"France","14","24","6","6","83","98","142","66","66","0","505"
"Germany","7","15","1","2","38","31","69","51","58","0","272"
"Gibraltar","4","12","0","1","38","5","4","1","0","0","65"
"Greece","12","21","7","6","94","191","179","217","12","0","741"
"Greenland","9","7","0","0","13","0","1","1","2","0","33"
"Guernsey","0","1","0","0","15","1","0","0","0","0","17"
"Holy See (Vatican City State)","2","1","0","0","0","0","0","0","0","0","3"
"Hungary","6","17","1","2","8","10","38","45","22","0","149"
"Iceland","6","8","0","0","24","0","2","0","7","0","47"
"Ireland","4","12","1","0","46","5","4","9","24","0","105"
"Isle of Man","0","2","0","0","9","0","0","1","1","0","13"
"Italy","10","20","6","13","84","89","192","121","52","0","587"
"Jersey","0","2","0","0","15","2","0","0","1","0","20"
"Latvia","2","16","0","0","5","4","12","1","13","0","53"
"Liechtenstein","0","4","0","1","0","2","6","1","5","0","19"
"Lithuania","2","12","0","0","5","4","7","2","16","0","48"
"Luxembourg","1","6","0","1","1","6","4","3","4","0","26"
"Malta","3","9","1","0","45","5","8","4","1","0","76"
"Monaco","5","2","0","0","39","2","4","2","0","0","54"
"Montenegro","7","15","4","3","59","27","57","6","4","0","182"
"Netherlands","5","13","0","1","24","6","13","3","32","0","97"
"North Macedonia","7","15","3","2","18","71","28","6","8","0","158"
"Norway","8","14","0","0","37","4","13","20","52","0","148"
"Poland","6","16","0","1","8","9","35","16","33","0","124"
"Portugal","15","20","4","4","83","86","171","141","15","0","542"
"Romania","15","21","3","1","21","27","67","14","10","0","179"
"San Marino","1","2","0","1","2","1","0","0","0","0","7"
"Serbia","9","17","2","2","13","10","60","9","7","0","129"
"Slovakia","7","16","0","1","6","9","37","32","35","0","143"
"Slovenia","9","13","3","4","53","36","69","12","25","0","224"
"Spain","18","26","19","9","87","168","187","292","53","0","859"
"Svalbard and Jan Mayen","4","4","0","0","5","0","0","1","0","0","14"
"Sweden","1","15","0","0","24","5","17","12","52","0","126"
"Switzerland","6","13","1","3","32","12","74","20","47","0","208"
"United Kingdom","4","15","1","0","64","7","25","54","46","0","216"
"Belize","10","14","8","2","68","0","27","114","0","0","243"
"Costa Rica","12","31","16","56","139","2","61","463","7","0","787"
"El Salvador","6","16","10","8","52","0","13","108","0","0","213"
"Guatemala","17","25","39","96","100","2","42","479","1","0","801"
"Honduras","10","24","60","70","90","0","38","218","2","0","512"
"Mexico","97","74","106","232","306","14","159","1,629","7","0","2,626"
"Nicaragua","9","25","11","11","98","2","36","129","0","0","321"
"Panama","18","24","16","78","129","0","47","281","3","0","596"
"Algeria","18","22","8","2","67","9","33","31","2","0","192"
"Egypt","20","19","12","0","96","3","129","13","0","0","292"
"Libya","12","13","6","0","53","1","5","8","0","0","98"
"Morocco","21","24","13","3","88","49","36","58","8","0","300"
"Tunisia","15","16","5","0","60","9","16","12","2","0","135"
"Western Sahara","12","8","1","0","66","2","2","1","0","0","92"
"Canada","18","29","6","1","51","21","25","21","30","0","203"
"Saint Pierre and Miquelon","4","15","0","0","13","0","0","0","0","0","32"
"United States","43","85","39","66","282","320","376","749","88","0","2,050"
"Belarus","6","14","0","0","3","4","9","2","5","0","43"
"Moldova","6","14","2","0","6","3","4","2","0","0","37"
"Russian Federation","36","62","8","0","62","7","38","68","45","0","326"
"Ukraine","15","21","2","1","23","10","38","29","16","0","155"
"American Samoa","1","6","6","0","27","6","146","3","0","0","195"
"Australia","71","70","76","46","220","183","447","798","14","0","1,926"
"Christmas Island","2","9","3","0","24","2","62","2","0","0","104"
"Cocos (Keeling) Islands","2","2","1","0","25","2","60","0","0","0","92"
"Cook Islands","1","11","3","0","21","1","104","13","0","0","154"
"Fiji","7","13","16","0","36","86","209","194","0","0","561"
"French Polynesia","0","35","3","0","41","42","112","293","0","0","526"
"Guam","3","13","5","0","26","7","116","5","0","0","175"
"Kiribati","2","5","2","0","25","0","168","0","0","0","202"
"Marshall Islands","1","7","4","0","29","2","167","0","0","0","210"
"Micronesia, Federated States of","6","16","8","0","34","3","198","16","0","0","281"
"Nauru","2","4","0","0","22","0","154","0","0","0","182"
"New Caledonia","8","22","72","0","55","30","192","726","4","0","1,109"
"New Zealand","9","68","52","3","51","39","28","21","13","0","284"
"Niue","1","7","4","0","21","0","104","2","0","0","139"
"Norfolk Island","1","11","2","0","15","12","27","2","0","0","70"
"Northern Mariana Islands","3","14","4","0","26","4","117","7","0","0","175"
"Palau","5","10","4","0","35","43","202","9","0","0","308"
"Papua New Guinea","51","36","13","27","139","24","252","745","3","0","1,290"
"Pitcairn","0","9","0","0","12","5","45","10","0","0","81"
"Samoa","2","3","4","0","29","6","148","15","0","0","207"
"Solomon Islands","24","19","7","3","45","5","224","62","0","0","389"
"Tokelau","0","0","3","0","23","0","98","0","0","0","124"
"Tonga","2","4","4","0","30","26","123","10","0","0","199"
"Tuvalu","2","0","4","0","23","1","163","0","0","0","193"
"United States Minor Outlying Islands","0","10","1","0","18","0","120","0","0","0","149"
"Vanuatu","8","9","5","0","35","8","172","31","0","0","268"
"Wallis and Futuna","0","6","2","0","23","1","139","3","0","0","174"
"Argentina","40","57","29","32","120","0","20","80","33","0","411"
"Bolivia, Plurinational States of","25","47","14","53","41","2","1","439","3","0","625"
"Brazil","97","149","94","189","441","22","90","1,368","47","0","2,497"
"Chile","18","43","28","35","66","1","13","110","22","0","337"
"Colombia","62","88","40","300","195","4","86","1,049","23","0","1,847"
"Ecuador","49","77","93","292","84","49","35","2,074","3","6","2,762"
"Falkland Islands (Malvinas)","4","9","0","0","8","0","0","5","6","0","32"
"French Guiana","8","8","7","4","75","0","1","70","0","0","173"
"Guyana","11","13","6","21","94","0","1","166","1","0","313"
"Paraguay","11","31","12","1","18","0","2","29","5","0","109"
"Peru","51","77","33","139","117","4","7","774","3","0","1,205"
"Suriname","9","9","6","0","71","0","1","69","0","0","165"
"Uruguay","9","26","7","1","84","0","4","22","1","0","154"
"Venezuela, Bolivarian Republic of","37","38","33","127","141","1","60","589","3","0","1,029"
"Bangladesh","39","35","30","0","84","0","12","53","0","0","253"
"Bhutan","28","19","10","1","5","0","1","67","2","0","133"
"British Indian Ocean Territory","0","4","2","0","27","0","142","0","0","0","175"
"Brunei Darussalam","38","44","10","2","69","0","233","227","0","0","623"
"Cambodia","45","35","23","8","104","1","148","96","0","0","460"
"Disputed Territory","0","1","0","0","20","3","167","0","0","0","191"
"India","98","83","106","139","334","7","216","663","3","0","1,649"
"Indonesia","218","151","77","29","373","44","400","1,405","2","0","2,699"
"Lao People's Democratic Republic","49","32","35","10","56","16","7","127","1","0","333"
"Malaysia","81","70","60","41","184","48","339","1,477","6","0","2,306"
"Maldives","2","3","3","0","48","0","128","0","0","0","184"
"Myanmar","54","59","38","6","108","3","164","194","0","0","626"
"Nepal","30","38","17","2","11","1","2","33","2","0","136"
"Philippines","44","87","36","27","153","5","403","1,147","1","0","1,903"
"Singapore","18","24","8","0","80","3","228","74","0","0","435"
"Sri Lanka","29","16","113","71","137","0","217","326","0","0","909"
"Thailand","65","68","42","12","159","16","220","320","1","0","903"
"Timor-Leste","6","11","3","0","40","1","225","8","0","0","294"
"Viet Nam","65","52","75","73","148","31","251","474","0","0","1,169"
"Angola","23","35","10","0","86","7","5","80","0","0","246"
"Benin","16","16","8","1","76","3","1","18","2","0","141"
"Botswana","11","20","1","0","2","0","0","3","0","0","37"
"Burkina Faso","13","16","4","0","3","0","0","6","0","0","42"
"Burundi","16","20","1","1","16","3","3","159","0","0","219"
"Cabo Verde","5","8","6","0","48","14","2","51","0","0","134"
"Cameroon","49","33","24","60","155","14","14","932","0","0","1,281"
"Central African Republic","20","20","7","0","3","2","0","54","0","0","106"
"Chad","17","22","5","0","1","6","0","8","0","0","59"
"Comoros","6","15","9","0","27","0","148","16","0","0","221"
"Congo","18","8","8","1","85","7","0","120","0","0","247"
"Congo, The Democratic Republic of the","47","42","18","13","132","45","9","464","0","0","770"
"Côte d'Ivoire","35","28","9","7","90","8","3","159","0","0","339"
"Djibouti","11","18","1","0","48","1","118","4","0","0","201"
"Equatorial Guinea","24","5","8","6","83","2","3","181","0","0","312"
"Eritrea","16","25","7","0","54","1","134","7","0","0","244"
"Eswatini","9","16","1","0","5","0","3","50","0","0","84"
"Ethiopia","40","38","4","12","15","4","11","211","0","0","335"
"Gabon","17","7","8","5","100","2","2","500","0","0","641"
"Gambia","11","21","6","0","83","3","0","6","0","0","130"
"Ghana","23","28","9","9","88","9","4","126","0","0","296"
"Guinea","35","24","10","7","119","6","5","228","0","0","434"
"Guinea-Bissau","15","17","9","0","73","3","1","12","0","0","130"
"Kenya","32","48","22","15","103","20","146","416","0","0","802"
"Lesotho","4","10","0","0","1","0","1","5","0","0","21"
"Liberia","28","16","9","2","93","5","8","145","0","0","306"
"Madagascar","133","41","139","147","115","35","323","2,981","1","0","3,915"
"Malawi","10","22","4","5","37","7","11","64","0","0","160"
"Mali","15","22","4","0","1","5","0","29","0","0","76"
"Mauritania","19","26","6","0","81","3","3","1","0","0","139"
"Mauritius","7","14","15","0","32","32","167","102","0","0","369"
"Mayotte","2","5","7","1","27","0","144","14","0","0","200"
"Mozambique","19","33","15","7","112","0","133","306","0","0","625"
"Namibia","15","35","5","0","50","2","3","66","0","0","176"
"Niger","15","19","4","0","3","2","0","4","0","0","47"
"Nigeria","36","25","15","13","106","5","10","263","0","0","473"
"Réunion","4","9","2","0","37","17","132","24","0","0","225"
"Rwanda","24","22","4","2","6","0","4","136","0","0","198"
"Saint Helena, Ascension and Tristan da Cunha","3","22","2","0","19","1","106","45","1","0","199"
"Sao Tome and Principe","4","15","6","3","39","4","2","73","0","0","146"
"Senegal","23","25","9","0","92","15","2","23","0","0","189"
"Seychelles","7","16","12","6","48","37","352","60","0","0","538"
"Sierra Leone","25","19","10","1","88","7","5","151","0","0","306"
"Somalia","18","23","5","0","65","2","138","102","0","0","353"
"South Africa","33","55","25","16","157","23","247","460","0","0","1,016"
"South Sudan","18","27","5","0","0","0","2","26","0","0","78"
"Sudan","20","29","6","0","55","0","121","17","0","0","248"
"Tanzania, United Republic of","45","50","41","61","224","11","203","1,071","0","0","1,706"
"Togo","16","17","9","2","69","4","1","15","0","0","133"
"Uganda","32","37","8","2","55","17","17","163","0","0","331"
"Zambia","13","24","4","0","26","12","1","70","0","0","150"
"Zimbabwe","10","24","5","6","5","0","8","81","0","0","139"
"Afghanistan","12","18","3","1","8","0","2","13","0","0","57"
"Armenia","7","17","7","0","2","0","6","82","0","0","121"
"Azerbaijan","7","20","8","1","12","1","5","50","1","0","105"
"Bahrain","3","11","4","0","39","0","32","0","0","0","89"
"Cyprus","7","11","3","1","41","7","16","23","3","0","112"
"Georgia","10","18","6","0","11","2","10","72","5","0","134"
"Iran, Islamic Republic of","18","31","15","5","85","1","43","20","0","0","218"
"Iraq","13","20","3","2","49","0","33","4","0","0","124"
"Israel","17","21","10","1","91","12","135","41","2","0","330"
"Jordan","13","18","6","0","34","6","126","8","0","0","211"
"Kazakhstan","16","29","1","2","21","1","5","22","1","0","98"
"Kuwait","7","14","4","0","41","0","31","0","0","0","97"
"Kyrgyzstan","5","18","3","1","9","0","3","23","0","0","62"
"Lebanon","10","14","7","0","43","10","9","101","0","0","194"
"Oman","9","16","8","0","83","3","64","9","0","0","192"
"Pakistan","24","34","17","1","122","0","26","23","0","0","247"
"Palestine, State of","7","18","4","0","19","1","2","12","0","0","63"
"Qatar","4","13","3","0","46","0","32","0","0","0","98"
"Saudi Arabia","10","22","3","0","78","2","135","5","0","0","255"
"Syrian Arab Republic","15","19","9","0","64","10","13","45","0","0","175"
"Tajikistan","8","17","7","0","5","0","3","21","1","0","62"
"Türkiye","18","24","20","12","145","44","44","138","8","0","454"
"Turkmenistan","8","21","6","0","11","1","6","7","0","0","60"
"United Arab Emirates","8","16","5","0","57","0","37","0","0","0","123"
"Uzbekistan","8","20","9","0","7","1","2","27","0","0","74"
"Yemen","12","20","7","0","71","3","149","167","0","0","429"