Group,Scientific name,Common name,IUCN Red List (2023) Category,IUCN Red List (2024) Category,Reason for change,Red List version
FLOWERING PLANTS,Gluta lanceolata,Rengas,LR/lc,NT,N,2024-1
FLOWERING PLANTS,Glycosmis perakensis,,VU,DD,N,2024-1
FLOWERING PLANTS,Goniothalamus gardneri,,EN,VU,N,2024-1
FLOWERING PLANTS,Goniothalamus salicinus,,VU,EN,N,2024-1
FLOWERING PLANTS,Gordonia curtyana,,CR,EN,N,2024-2
FLOWERING PLANTS,Graffenrieda caudata,,VU,LC,N,2024-2
FLOWERING PLANTS,Graffenrieda trichanthera,,VU,EN,N,2024-1
FLOWERING PLANTS,Grias longirachis,,EN,CR,N,2024-2
FLOWERING PLANTS,Grias multinervia,Pacora,VU,LC,N,2024-2
FLOWERING PLANTS,Grosvenoria rimbachii,,VU,LC,N,2024-2
FLOWERING PLANTS,Guarea casimiriana,,VU,CR,N,2024-1
FLOWERING PLANTS,Guarea convergens,,VU,LC,N,2024-2
FLOWERING PLANTS,Guarea velutina,Colomofi,VU,LC,N,2024-2
FLOWERING PLANTS,Guioa multijuga,,VU,EN,N,2024-1
FLOWERING PLANTS,Gustavia dodsonii,Máli,EN,VU,N,2024-2
FLOWERING PLANTS,Gyminda orbicularis,,VU,EN,N,2024-2
FLOWERING PLANTS,Gynoxys baccharoides,,VU,LC,N,2024-1
FLOWERING PLANTS,Hampea reynae,Majagua,VU,EN,N,2024-1
FLOWERING PLANTS,Hampea sphaerocarpa,,EN,VU,N,2024-2
FLOWERING PLANTS,Harpalyce maisiana,,VU,CR,N,2024-2
FLOWERING PLANTS,Hedyosmum purpurascens,Toronjil,VU,NT,N,2024-2
FLOWERING PLANTS,Helicostylis heterotricha,Leche de Cabra,EN,LC,N,2024-2
FLOWERING PLANTS,Helietta glaucescens,Fragante,EN,VU,Non-genuien,2024-2
FLOWERING PLANTS,Henriettea membranifolia,Camasey,CR,EX,N,2024-2
FLOWERING PLANTS,Henriettea punctata,,VU,CR,N,2024-2
FLOWERING PLANTS,Henriettea squamata,,VU,LC,N,2024-2
FLOWERING PLANTS,Hernandia cubensis,,CR,CR(PE),N,2024-2
FLOWERING PLANTS,Herrania balaensis,Cacaito de Monte,EN,LC,N,2024-2
FLOWERING PLANTS,Hieronyma clusioides,Cedro Macho,DD,LC,N,2024-2
FLOWERING PLANTS,Hopea brevipetiolaris,,CR,EN,N,2024-1
FLOWERING PLANTS,Hopea modesta,,CR,VU,N,2024-1
FLOWERING PLANTS,Horsfieldia ardisiifolia,Talatab,VU,NT,N,2024-2
FLOWERING PLANTS,Horsfieldia borneensis,,VU,LC,N,2024-1
FLOWERING PLANTS,Horsfieldia superba,,LR/nt,LC,N,2024-1
FLOWERING PLANTS,Humboldtia bourdillonii,Adimundan,EN,VU,N,2024-2
FLOWERING PLANTS,Hymenaea torrei,Caguairán,VU,EN,N,2024-2
FLOWERING PLANTS,Ilex spruceana,,LR/nt,LC,N,2024-1
FLOWERING PLANTS,Inga amboroensis,,VU,DD,N,2024-1
FLOWERING PLANTS,Inga calanthoides,,VU,LC,N,2024-1
FLOWERING PLANTS,Inga leptingoides,,VU,LC,N,2024-2
FLOWERING PLANTS,Inga neblinensis,,VU,LC,N,2024-2
FLOWERING PLANTS,Ipomoea pulcherrima,,VU,CR,N,2024-1
FLOWERING PLANTS,Iryanthera obovata,Mamita,VU,LC,N,2024-2
FLOWERING PLANTS,Jacaranda arborea,Abey de monte malo,VU,LC,N,2024-2
FLOWERING PLANTS,Joosia longisepala,,VU,EN,N,2024-2
FLOWERING PLANTS,Joosia macrocalyx,,VU,EN,N,2024-2
FLOWERING PLANTS,Joosia standleyana,,EN,VU,N,2024-2
FLOWERING PLANTS,Juttadinteria simpsonii,,LC,CR,N,2024-1
FLOWERING PLANTS,Kielmeyera peruviana,,VU,CR,N,2024-1
FLOWERING PLANTS,Knema emmae,,VU,EN,N,2024-1
FLOWERING PLANTS,Knema intermedia,,LR/nt,LC,N,2024-1
FLOWERING PLANTS,Knema mogeana,,VU,LC,N,2024-1
FLOWERING PLANTS,Knema pubiflora,,LR/nt,EN,N,2024-1
FLOWERING PLANTS,Knema uliginosa,,VU,CR,N,2024-1
FLOWERING PLANTS,Kopsia larutensis,,DD,VU,N,2024-1
FLOWERING PLANTS,Kopsia profunda,,DD,VU,N,2024-1
FLOWERING PLANTS,Kostermanthus malayanus,,EN,DD,N,2024-1
FLOWERING PLANTS,Kutchubaea montana,,VU,LC,N,2024-1
FLOWERING PLANTS,Labramia ankaranaensis,,LC,VU,N,2024-1
FLOWERING PLANTS,Labramia platanoides,,NT,VU,N,2024-1
FLOWERING PLANTS,Ladenbergia ferruginea,,VU,DD,N,2024-1
FLOWERING PLANTS,Ladenbergia stenocarpa,Owetawe,VU,LC,N,2024-1
FLOWERING PLANTS,Lithocarpus crassinervius,,EN,NT,N,2024-2
FLOWERING PLANTS,Lithocarpus indutus,,VU,NT,N,2024-2
FLOWERING PLANTS,Lithops optica,,NT,CR,G,2024-1
FLOWERING PLANTS,Litsea glaberrima,,EN,NT,N,2024-2
FLOWERING PLANTS,Lonchocarpus yoroensis,,CR,VU,N,2024-2
FLOWERING PLANTS,Lunania cubensis,Lunania,VU,LC,N,2024-2
FLOWERING PLANTS,Macaranga grandifolia,Abing-abing,VU,NT,N,2024-2
FLOWERING PLANTS,Madhuca oblongifolia,,VU,EN,N,2024-2
FLOWERING PLANTS,Magnolia banghamii,,DD,CR,N,2024-1
FLOWERING PLANTS,Magnolia duperreana,,DD,VU,N,2024-1
FLOWERING PLANTS,Mangifera blommesteinii,,EN,VU,N,2024-1
FLOWERING PLANTS,Mangifera dewildei,,VU,EN,N,2024-1
FLOWERING PLANTS,Mangifera lalijiwa,,DD,VU,N,2024-1
FLOWERING PLANTS,Mangifera macrocarpa,,VU,DD,N,2024-1
FLOWERING PLANTS,Mangifera orophila,,VU,LC,N,2024-1
FLOWERING PLANTS,Mangifera pajang,,VU,DD,N,2024-1
FLOWERING PLANTS,Mangifera pedicellata,,VU,DD,N,2024-1
FLOWERING PLANTS,Mangifera similis,,VU,LC,N,2024-1
FLOWERING PLANTS,Mangifera superba,Binjai,EN,VU,N,2024-1
FLOWERING PLANTS,Manilkara bolivarensis,,VU,LC,N,2024-2
FLOWERING PLANTS,Manilkara pleeana,Acana,VU,NT,N,2024-2
FLOWERING PLANTS,Manilkara pubicarpa,,VU,CR,N,2024-1
FLOWERING PLANTS,Marila saramaccana,,VU,DD,N,2024-1
FLOWERING PLANTS,Marila spiciformis,,VU,CR,N,2024-1
FLOWERING PLANTS,Marlothiella gummifera,,LC,EN,G,2024-1
FLOWERING PLANTS,Mastixia macrocarpa,,VU,EN,N,2024-1
FLOWERING PLANTS,Matisia alata,Castaño,EN,NT,N,2024-2
FLOWERING PLANTS,Matisia stenopetala,,VU,NT,N,2024-2
FLOWERING PLANTS,Mauria membranifolia,Colorado,EN,VU,N,2024-2
FLOWERING PLANTS,Melanochyla fasciculiflora,,VU,CR,N,2024-1
FLOWERING PLANTS,Melanochyla longipetiolata,,VU,EN,N,2024-1
FLOWERING PLANTS,Melanochyla nitida,,LR/lc,EN,N,2024-1
FLOWERING PLANTS,Meliosma sirensis,,VU,EN,N,2024-2
FLOWERING PLANTS,Meliosma youngii,,VU,CR,N,2024-2
FLOWERING PLANTS,Meriania acostae,,EN,VU,N,2024-2
FLOWERING PLANTS,Meriania pastazana,,VU,LC,N,2024-2
FLOWERING PLANTS,Miconia aligera,,VU,EN,N,2024-1
FLOWERING PLANTS,Miconia bailloniana,,LR/nt,VU,N,2024-2
FLOWERING PLANTS,Miconia bipatrialis,,VU,LC,N,2024-2
FLOWERING PLANTS,Miconia brevistylis,,VU,EN,N,2024-1
FLOWERING PLANTS,Miconia caudatifolia,,NT,LC,N,2024-2
FLOWERING PLANTS,Miconia demissifolia,,VU,EN,N,2024-1
FLOWERING PLANTS,Miconia ecuadorensis,,CR,LC,N,2024-1
FLOWERING PLANTS,Miconia elegantissima,,VU,LC,N,2024-2
FLOWERING PLANTS,Miconia gibba,,VU,LC,N,2024-2
FLOWERING PLANTS,Miconia griffisii,,VU,CR,N,2024-2
FLOWERING PLANTS,Miconia lachnoclada,,VU,EN,N,2024-1
FLOWERING PLANTS,Miconia lugonis,,NT,LC,N,2024-2
FLOWERING PLANTS,Microcos globulifera,,VU,LC,N,2024-1
FLOWERING PLANTS,Microcos laurifolia,,LR/cd,LC,N,2024-1
FLOWERING PLANTS,Micropholis garciniifolia,Caimitillo,LR/nt,EN,N,2024-2
FLOWERING PLANTS,Microtropis fascicularis,,VU,NT,N,2024-2
FLOWERING PLANTS,Mitrephora wangii,,VU,NT,N,2024-1
FLOWERING PLANTS,Monocyclanthus vignei,,EN,VU,N,2024-1
FLOWERING PLANTS,Monoon acuminatum,Inipettu,VU,LC,N,2024-1
FLOWERING PLANTS,Monoon fuscum,,LR/nt,LC,N,2024-2
FLOWERING PLANTS,Monteverdia ponceana,Ponce Mayten,VU,EN,N,2024-2
FLOWERING PLANTS,Moquilea megalophylla,,EN,VU,N,2024-2
FLOWERING PLANTS,Moquilea vasquezii,,VU,DD,N,2024-2
FLOWERING PLANTS,Myracrodruon urundeuva,Aroeira,DD,LC,N,2024-1
FLOWERING PLANTS,Myrcia adunca,,EN,CR,N,2024-2
FLOWERING PLANTS,Myrcia almasensis,,VU,EN,N,2024-1
FLOWERING PLANTS,Myrcia polyneura,,VU,CR,N,2024-2
FLOWERING PLANTS,Myrcianthes oreophila,llnca,VU,LC,N,2024-1
FLOWERING PLANTS,Myristica alba,,VU,EN,N,2024-1
FLOWERING PLANTS,Myristica atrescens,,VU,DD,N,2024-1
FLOWERING PLANTS,Myristica kjellbergii,,VU,LC,N,2024-2
FLOWERING PLANTS,Myristica magnifica,Kotthapanu,EN,VU,N,2024-2
FLOWERING PLANTS,Myristica perlaevis,,VU,LC,N,2024-2
FLOWERING PLANTS,Myristica pubicarpa,,VU,EN,N,2024-2
FLOWERING PLANTS,Myristica robusta,,VU,CR,N,2024-2
FLOWERING PLANTS,Myristica tamrauensis,,VU,LC,N,2024-2
FLOWERING PLANTS,Myrsine bullata,,VU,DD,N,2024-1
FLOWERING PLANTS,Myrsine reynelii,,VU,EN,N,2024-1
FLOWERING PLANTS,Myrsine rivularis,,VU,DD,N,2024-1
FLOWERING PLANTS,Namibia cinerea,,NT,EN,G,2024-1
FLOWERING PLANTS,Nectandra bartlettiana,Laurel Macanillo,LR/nt,VU,N,2024-2
FLOWERING PLANTS,Nectandra minima,Boniato Amarillo,CR,LC,N,2024-1
FLOWERING PLANTS,Neea ekmanii,,EN,CR,N,2024-2
FLOWERING PLANTS,Neolitsea daibuensis,,EN,NT,N,2024-1
FLOWERING PLANTS,Neuburgia macroloba,,EN,LC,N,2024-2
FLOWERING PLANTS,Nymphaea thermarum,,EW,CR,N,2024-1
FLOWERING PLANTS,Oreopanax corazonensis,,EN,VU,N,2024-2
FLOWERING PLANTS,Oreopanax grandifolius,,NT,VU,N,2024-2
FLOWERING PLANTS,Oreopanax hedraeostrobilus,,VU,NT,N,2024-2
FLOWERING PLANTS,Oreopanax obscurus,,VU,EN,N,2024-2
FLOWERING PLANTS,Oreopanax sanderianus,,VU,LC,N,2024-1
FLOWERING PLANTS,Oreopanax sessiliflorus,,VU,NT,N,2024-2
FLOWERING PLANTS,Ovieda calcicola,,VU,EN,N,2024-2
FLOWERING PLANTS,Palaquium luzoniense,Red Nato,VU,LC,N,2024-2
FLOWERING PLANTS,Palicourea anianguana,,VU,EN,N,2024-2
FLOWERING PLANTS,Palicourea herrerae,Samiruco Sacha,VU,LC,N,2024-1
FLOWERING PLANTS,Palicourea latifolia,,VU,LC,N,2024-2
FLOWERING PLANTS,Parkia parvifoliola,,VU,EN,N,2024-1
FLOWERING PLANTS,Parsonsia macrophylla,,NT,LC,N,2024-2
FLOWERING PLANTS,Parsonsia terminaliifolia,,EN,LC,N,2024-2
FLOWERING PLANTS,Payena maingayi,,LR/lc,VU,G,2024-1
FLOWERING PLANTS,Pentagonia involucrata,,EN,VU,N,2024-2
FLOWERING PLANTS,Pentagonia rubriflora,Sananguillo,DD,CR,N,2024-1
FLOWERING PLANTS,Pentaspadon motleyi,,DD,LC,N,2024-1
FLOWERING PLANTS,Peritassa killipii,,VU,EN,N,2024-1
FLOWERING PLANTS,Phyllanthus heterodoxus,,DD,LC,N,2024-2
FLOWERING PLANTS,Picramnia bullata,,VU,CR,N,2024-1
FLOWERING PLANTS,Pimenta filipes,Limonicillo,VU,EN,N,2024-2
FLOWERING PLANTS,Pimenta odiolens,Palo De Cincha,VU,LC,N,2024-2
FLOWERING PLANTS,Pimenta oligantha,,VU,EN,N,2024-2
FLOWERING PLANTS,Pimenta podocarpoides,,EN,CR,N,2024-2
FLOWERING PLANTS,Piper baezanum,,CR,EN,N,2024-2
FLOWERING PLANTS,Pisonia ekmanii,Chicharrón sapo,EN,CR,N,2024-2
FLOWERING PLANTS,Pistacia weinmanniifolia,,DD,LC,N,2024-1
FLOWERING PLANTS,Plerandra costata,,VU,LC,N,2024-2
FLOWERING PLANTS,Polyalthiopsis verrucipes,you ye mu,EN,CR,N,2024-1
FLOWERING PLANTS,Polylepis hieronymi,,VU,EN,N,2024-1
FLOWERING PLANTS,Polylepis incana,,VU,LC,N,2024-1
FLOWERING PLANTS,Polylepis lanuginosa,,VU,EN,N,2024-1
FLOWERING PLANTS,Polylepis microphylla,,VU,EN,N,2024-1
FLOWERING PLANTS,Polylepis multijuga,,VU,EN,N,2024-1
FLOWERING PLANTS,Polylepis neglecta,,VU,EN,N,2024-1
FLOWERING PLANTS,Polylepis pauta,,VU,EN,N,2024-1
FLOWERING PLANTS,Polylepis pepei,,VU,EN,N,2024-1
FLOWERING PLANTS,Polylepis racemosa,Cceuña,VU,DD,N,2024-1
FLOWERING PLANTS,Polylepis reticulata,,VU,EN,N,2024-1
FLOWERING PLANTS,Polylepis rugulosa,,VU,NT,N,2024-1
FLOWERING PLANTS,Polylepis subsericans,Q’euña,VU,EN,N,2024-1
FLOWERING PLANTS,Polylepis weberbaueri,,VU,NT,N,2024-1
FLOWERING PLANTS,Pourouma oraria,,VU,LC,N,2024-1
FLOWERING PLANTS,Pouteria aristata,Chicharrón manajú,VU,EN,N,2024-2
FLOWERING PLANTS,Pouteria bonneriana,,VU,EN,N,2024-1
FLOWERING PLANTS,Pouteria bracteata,,EN,LC,N,2024-2
FLOWERING PLANTS,Pouteria gabrielensis,Abiurana,LR/nt,LC,N,2024-2
FLOWERING PLANTS,Pouteria gracilis,,VU,LC,N,2024-1
FLOWERING PLANTS,Pouteria micrantha,Sapotillo,EN,CR,N,2024-2
FLOWERING PLANTS,Pouteria penicillata,,VU,CR,N,2024-1
FLOWERING PLANTS,Pouteria pisquiensis,,VU,CR,N,2024-1
FLOWERING PLANTS,Pouteria sessilis,,VU,CR,N,2024-1
FLOWERING PLANTS,Pouteria tarapotensis,,LR/nt,LC,N,2024-1
FLOWERING PLANTS,Prunus clementis,Bacad,LR/nt,EN,N,2024-2
FLOWERING PLANTS,Prunus laxinervis,,VU,NT,N,2024-1
FLOWERING PLANTS,Psychotria cathetoneura,,VU,EN,N,2024-2
FLOWERING PLANTS,Psychotria chimboracensis,,NT,LC,N,2024-1
FLOWERING PLANTS,Psychotria woytkowskii,Cunshi-cashan,VU,DD,N,2024-1
FLOWERING PLANTS,Psydrax dicoccos,,VU,LC,N,2024-1
FLOWERING PLANTS,Pteronia spinulosa,,LC,VU,G,2024-1
FLOWERING PLANTS,Qualea calantha,,VU,DD,N,2024-1
FLOWERING PLANTS,Qualea impexa,,VU,CR,N,2024-1
FLOWERING PLANTS,Quararibea grandifolia,,EN,LC,N,2024-2
FLOWERING PLANTS,Quararibea velutina,Machinnaccha,VU,CR,N,2024-2
FLOWERING PLANTS,Rinorea pectino-squamata,,VU,LC,N,2024-1
FLOWERING PLANTS,Ruagea membranacea,,VU,EN,N,2024-2
FLOWERING PLANTS,Rudgea obesiflora,Kedendenbiwi,VU,LC,N,2024-1
FLOWERING PLANTS,Rustia bilsana,,EN,CR,N,2024-2
FLOWERING PLANTS,Sarcaulus wurdackii,,VU,CR,N,2024-1
FLOWERING PLANTS,Sarcomphalus havanensis,Bruja,EN,NT,N,2024-1
FLOWERING PLANTS,Sassafras randaiense,,VU,NT,N,2024-2
FLOWERING PLANTS,Saurauia adenodonta,,NT,LC,N,2024-2
FLOWERING PLANTS,Saurauia mahmudii,,LR/cd,LC,N,2024-1
FLOWERING PLANTS,Saurauia malayana,,LR/cd,LC,N,2024-1
FLOWERING PLANTS,Saurauia rubens,,LR/nt,LC,N,2024-1
FLOWERING PLANTS,Saurauia schultzeorum,,NT,EN,N,2024-2
FLOWERING PLANTS,Schmardaea microphylla,Carachugo,VU,LC,N,2024-2
FLOWERING PLANTS,Schoutenia kunstleri,,VU,LC,N,2024-1
FLOWERING PLANTS,Sciodaphyllum diplodactylum,,VU,LC,N,2024-2
FLOWERING PLANTS,Scolopia oreophila,,DD,VU,N,2024-1
FLOWERING PLANTS,Sebastiania glandulosa,Chechem Blanco,VU,LC,N,2024-1
FLOWERING PLANTS,Serianthes vitiensis,,VU,EN,N,2024-2
FLOWERING PLANTS,Shorea affinis,Beraliya-dun,EN,VU,N,2024-1
FLOWERING PLANTS,Shorea congestiflora,Thinniya,CR,VU,N,2024-1
FLOWERING PLANTS,Shorea cordifolia,Red doon,CR,VU,N,2024-1
FLOWERING PLANTS,Shorea disticha,,EN,VU,N,2024-1
FLOWERING PLANTS,Shorea dyeri,Nawara-dun,EN,VU,N,2024-1
FLOWERING PLANTS,Shorea gardneri,Red doon,CR,VU,N,2024-1
FLOWERING PLANTS,Shorea lissophylla,Gal-pana mora,CR,VU,N,2024-1
FLOWERING PLANTS,Shorea megistophylla,Honda-beraliya,CR,VU,N,2024-1
FLOWERING PLANTS,Shorea oblongifolia,Pana-mora,CR,VU,N,2024-1
FLOWERING PLANTS,Shorea pallescens,Ratu-dun,CR,EN,N,2024-1
FLOWERING PLANTS,Shorea stipularis,,CR,VU,N,2024-1
FLOWERING PLANTS,Shorea trapezifolia,Yakahalu,CR,VU,N,2024-1
FLOWERING PLANTS,Shorea worthingtonii,Beraliya,EN,VU,N,2024-1
FLOWERING PLANTS,Shorea zeylanica,Dun,CR,EN,N,2024-1
FLOWERING PLANTS,Simira standleyi,Manglillo,CR,EN,N,2024-2
FLOWERING PLANTS,Simira wurdackii,Shambosisa,VU,LC,N,2024-1
FLOWERING PLANTS,Sindora inermis,,VU,EN,N,2024-1
FLOWERING PLANTS,Siparuna croatii,,VU,LC,N,2024-1
FLOWERING PLANTS,Siparuna guajalitensis,,VU,LC,N,2024-2
FLOWERING PLANTS,Solanum fallax,,LR/nt,LC,N,2024-2
FLOWERING PLANTS,Sorbus anglica,English Whitebeam,NT,VU,N,2024-2
FLOWERING PLANTS,Spiraeanthemum graeffei,,EN,LC,N,2024-2
FLOWERING PLANTS,Spiraeanthemum serratum,,EN,LC,N,2024-2
FLOWERING PLANTS,Spirotecoma apiculata,Azufre,VU,LC,N,2024-1
FLOWERING PLANTS,Spirotecoma holguinensis,Roble-cera,EN,LC,N,2024-1
FLOWERING PLANTS,Stemonoporus acuminatus,,EN,VU,N,2024-1
FLOWERING PLANTS,Stemonoporus bullatus,,EN,CR,N,2024-1
FLOWERING PLANTS,Stemonoporus canaliculatus,,CR,EN,N,2024-1
FLOWERING PLANTS,Stemonoporus elegans,,CR,EN,N,2024-1
FLOWERING PLANTS,Stemonoporus gardneri,Hal,EN,VU,N,2024-1
FLOWERING PLANTS,Stemonoporus laevifolius,,EN,CR,N,2024-1
FLOWERING PLANTS,Stemonoporus lancifolius,,CR,EN,N,2024-1
FLOWERING PLANTS,Stemonoporus nitidus,,CR,CR(PE),N,2024-1
FLOWERING PLANTS,Stemonoporus petiolaris,,CR,EN,N,2024-1
FLOWERING PLANTS,Stemonoporus scaphifolius,,EN,CR,N,2024-1
FLOWERING PLANTS,Stenostomum portoricense,Puerto Rico Quina,VU,EN,N,2024-2
FLOWERING PLANTS,Stenostomum radiatum,,VU,EN,N,2024-2
FLOWERING PLANTS,Stilpnophyllum grandifolium,,EN,NT,N,2024-2
FLOWERING PLANTS,Styrax tafelbergensis,,VU,LC,N,2024-2
FLOWERING PLANTS,Swartzia rediviva,,VU,CR,N,2024-1
FLOWERING PLANTS,Swintonia spicifera,Kerete,LR/lc,NT,N,2024-1
FLOWERING PLANTS,Symplocos peruviana,,VU,LC,N,2024-2
FLOWERING PLANTS,Synapsis ilicifolia,Chicharrón,EN,CR,G,2024-2
FLOWERING PLANTS,Syzygium amplifolium,,VU,LC,N,2024-2
FLOWERING PLANTS,Syzygium caryophyllatum,Cherujara,EN,VU,N,2024-1
FLOWERING PLANTS,Syzygium conglomeratum,,VU,LC,N,2024-1
FLOWERING PLANTS,Syzygium manii,,CR,DD,N,2024-1
FLOWERING PLANTS,Syzygium minus,,EN,DD,N,2024-2
FLOWERING PLANTS,Syzygium phaeophyllum,,CR,LC,N,2024-2
FLOWERING PLANTS,Syzygium seemannianum,Yasi Ni Wai,LR/lc,NT,N,2024-2
FLOWERING PLANTS,Syzygium stocksii,Poriyal,EN,VU,N,2024-1
FLOWERING PLANTS,Syzygium wolfii,,VU,LC,N,2024-2
FLOWERING PLANTS,Tabebuia arimaoensis,,VU,EN,N,2024-1
FLOWERING PLANTS,Tabebuia dubia,Roble negro,VU,LC,N,2024-2
FLOWERING PLANTS,Tabebuia elongata,,EN,CR,N,2024-1
FLOWERING PLANTS,Tabebuia jackiana,,VU,LC,N,2024-2
FLOWERING PLANTS,Tabebuia polymorpha,,VU,DD,N,2024-1
FLOWERING PLANTS,Tabernaemontana apoda,Huevo-de-gallo,CR,EN,N,2024-1
FLOWERING PLANTS,Tabernaemontana oppositifolia,Palo Lechoso,VU,NT,N,2024-2
FLOWERING PLANTS,Tabernaemontana polyneura,,LR/cd,LC,N,2024-1
FLOWERING PLANTS,Talisia bullata,,CR,LC,N,2024-1
FLOWERING PLANTS,Talisia setigera,Hobo de Monte,EN,LC,N,2024-1
FLOWERING PLANTS,Tapirira rubrinervis,,EN,LC,N,2024-2
FLOWERING PLANTS,Tapura orbicularis,,VU,CR,N,2024-2
FLOWERING PLANTS,Terminalia nitens,Anagep,VU,LC,N,2024-1
FLOWERING PLANTS,Terminalia pellucida,Aritongtong,VU,LC,N,2024-1
FLOWERING PLANTS,Ternstroemia wallichiana,,VU,LC,N,2024-1
FLOWERING PLANTS,Tetractomia majus,,LR/cd,EN,N,2024-1
FLOWERING PLANTS,Trichilia acuminata,Cimbra Potro,VU,LC,N,2024-2
FLOWERING PLANTS,Trichilia primogenita,,VU,EN,N,2024-2
FLOWERING PLANTS,Trichilia triacantha,Bariaco,CR,EN,N,2024-2
FLOWERING PLANTS,Trichilia ulei,,VU,EN,N,2024-1
FLOWERING PLANTS,Uvariodendron connivens,,LR/nt,LC,N,2024-1
FLOWERING PLANTS,Uvariodendron fuscum,,LR/nt,LC,N,2024-1
FLOWERING PLANTS,Vaccinium bissei,,VU,CR,N,2024-2
FLOWERING PLANTS,Vachellia daemon,Abrojo,EN,VU,N,2024-2
FLOWERING PLANTS,Vachellia zapatensis,,EN,EX,N,2024-2
FLOWERING PLANTS,Vadensea vogelii,,VU,LC,N,2024-1
FLOWERING PLANTS,Vasconcellea pulchra,,NT,VU,N,2024-2
FLOWERING PLANTS,Vateria copallifera,Hal,EN,NT,N,2024-1
FLOWERING PLANTS,Vatica affinis,Hal-mandora,CR,EN,N,2024-1
FLOWERING PLANTS,Vatica obscura,Tumpalai,EN,VU,N,2024-1
FLOWERING PLANTS,Virola surinamensis,Baboonwood,EN,LC,N,2024-1
FLOWERING PLANTS,Vitex yaundensis,,CR,EN,N,2024-1
FLOWERING PLANTS,Weinmannia spiraeoides,,EX,VU,N,2024-2
FLOWERING PLANTS,Weinmannia vitiensis,,VU,EN,N,2024-2
FLOWERING PLANTS,Wrightia lanceolata,,VU,LC,N,2024-1
FLOWERING PLANTS,Wrightia lecomtei,Prapach Chang Va,VU,EN,N,2024-1
FLOWERING PLANTS,Ximenia roigii,Almendro de costa,VU,CR,N,2024-2
FLOWERING PLANTS,Xylopia ekmanii,Yararey,VU,EN,N,2024-1
FLOWERING PLANTS,Xylopia pierrei,,VU,NT,N,2024-1
FLOWERING PLANTS,Zanthoxylum albuquerquei,,VU,CR,N,2024-1
FLOWERING PLANTS,Zanthoxylum integrifoliolum,Salai,DD,LC,N,2024-2
CYCADS,Encephalartos bubalinus,Lake Natron Cycad,NT,VU,N,2024-1
CYCADS,Encephalartos hildebrandtii,Mombasa Cycad,NT,LC,N,2024-1
CYCADS,Encephalartos kanga,Mnanasi Pori,CR,DD,N,2024-1
CYCADS,Encephalartos mackenziei,,NT,CR,N,2024-1
CYCADS,Encephalartos macrostrobilus,,EN,CR,N,2024-1
CYCADS,Encephalartos septentrionalis,Nile Cycad,NT,LC,N,2024-1
CONIFERS,Acmopyle pancheri,,NT,LC,N,2024-2
CONIFERS,Afrocarpus mannii,Pinheiro de São Tomé,VU,EN,N,2024-2
CONIFERS,Agathis montana,Mount Panié Kauri,CR,EN,N,2024-2
CONIFERS,Agathis ovata,Scrub Kauri,EN,VU,N,2024-2
CONIFERS,Araucaria bernieri,,VU,NT,N,2024-2
CONIFERS,Araucaria biramulata,,VU,NT,N,2024-2
CONIFERS,Araucaria humboldtensis,,EN,VU,N,2024-2
CONIFERS,Araucaria luxurians,Sapin de Noël,EN,VU,N,2024-2
CONIFERS,Araucaria schmidii,Mt Panie Kauri,VU,CR,G,2024-2
CONIFERS,Austrotaxus spicata,New Caledonia Yew,NT,LC,N,2024-2
CONIFERS,Libocedrus chevalieri,,CR,VU,N,2024-2
CONIFERS,Podocarpus decumbens,,CR,EN,N,2024-2
CONIFERS,Podocarpus gnidioides,,NT,LC,N,2024-2
CONIFERS,Podocarpus polyspermus,,EN,VU,N,2024-2
LICHENS,Ramalina confertula,Mountain Strap Lichen,EN,VU,N,2024-1
LICHENS,Ramalina erosa,Prime Strap Lichen,EN,VU,N,2024-1
LICHENS,Ramalina portosantana,Porto Santo Strap Lichen,CR,VU,N,2024-1
LICHENS,Ramalina timdaliana,Timdal's Strap Lichen,EN,VU,N,2024-1
